license_number,application_number,business_name,my_business_name_sixletters,license_type,all_packets_submitted_dt,application_fee,lic_fee_amount,dbe,cnb_dt_of_final_licensure,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_address_2,business_city,business_state,business_zipcode,my_business_zipcode,,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,dph_rmd_number,name_of_rmd,establishment_address_1,establishment_address_2,establishment_city,establishment_state,establishment_zip_code,establishment_county,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,dba_name,dba_registration_city,cooperative_total_canopy,cooperative_cultivation,cultivation_tier,establishment_activities,establishment_cultivation,app_create_date,my_longitude,latitude,my_latitude,longitude,disability_owned_business,lesbian_gay_bisexual_and_transgender_owned_business,minority_owned_business,veteran_owned_business,woman_owned_business,not_a_dbe,county_geocoded_column_1
MP281807,MPN281807,"Alfred's Finest, Inc.",Alfred,Marijuana Product Manufacturer,,"1,500",0,Minority-Owned Business,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,8 Scobee Circle,,Plymouth,MA,2360,02360,,99 Main Street,,Plympton,MA,2367,,,8 Scobee Circle,,Plymouth,MA,2360,,"15,000",7,Yes,1325599,,,,,,,,12/2/2019 0:00,-70.70712733,(-70.70712732599998,41.94958096,41.949580955000044),,,1,,,,
MR281363,MRN281363,Mass Wellspring LLC,Mass W,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,18 Powdermill Rd,,Acton,MA,1720,01720,,18 Powdermill Rd,,Acton,MA,1720,26,Mass Wellspring LLC,4-6 Nason Street,,Maynard,MA,1754,,"1,800",8,Yes,1321559,"THERE IS NO DOING BUSINESS NAME;  WE CANNOT DELETE ""ACTON"" BELOW.  THE SYSTEM PROGRAM DOES NOT ALLOW THAT. ""ACTON""  WAS ENTERED  BY MISTAKE AND CANNOT BE CHANGED",Acton,,,,,,5/1/2018 0:00,-71.45410778,(-71.45410778499996,42.43236819,42.43236818500003),,,,,,1,
MC281310,MCN281310,"Wellman Farm, Inc.",Wellma,Marijuana Cultivator,,400,"2,500",Woman-Owned Business | Minority-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,26 Wellman Street,,Lowell,MA,1851,01851,,PO Box 180629,,Boston,MA,2118,,,26 Wellman Street,,Lowell,MA,2851,,"13,000",26,Yes,1331837,N/A,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,4/26/2018 0:00,-71.32276588,(-71.32276587699994,42.62004067,42.62004067300007),,,1,,1,,
MC281757,MCN281757,"Whole Sun Farm, LLC",Whole ,Marijuana Cultivator,,100,625,Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,48 Valley Street,,Dunstable,MA,1827,01827,,48 Valley Street,,Dunstable,MA,1827,,,48 Valley Street,,Dunstable,MA,1827,,"6,385",9,Yes,1337158,,,,,"Tier 01: up to 5,000 square feet",,,10/17/2018 0:00,-71.45978854,(-71.45978853599996,42.65865614,42.65865614300003),,,,,,1,
MP281480,MPN281480,"Mayflower Medicinals, Inc.",Mayflo,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,11/7/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,89 October Hill Road,,Holliston,MA,1746,01746,,89 October Hill Road,,Holliston,MA,1746,RMD425,"Mayflower Medicinals, Inc.",89 October Hill Road,,Holliston,MA,1746,,"36,000",53,Yes,1339252,,,,,,,,9/9/2018 0:00,-71.42568534,(-71.42568533799994,42.22732869,42.22732868600008),,,,,,1,
MR282033,MRN282033,"Temescal Wellness of Massachusetts, LLC",Temesc,Marijuana Retailer,,300,"10,000",Not a DBE,4/9/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,665 Cochituate Road,Suite 1B,Framingham,MA,1701,01701,,665 Cochituate Rd,Second Floor,Framingham,MA,1701,45,Temescal Wellness - Framingham,665 Cochituate Road,Suite 1B,Framingham,MA,1701,,"2,200",9,Yes,1358393,,,,,,,,11/8/2018 0:00,-71.38530627,(-71.38530627399996,42.30734808,42.30734807500005),,,,,,1,
MC281787,MCN281787,"Health Circle, Inc.",Health,Marijuana Cultivator,,600,"5,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,21 Commerce Road,,Rockland,MA,2370,02370,,21 Commerce Rd,,Rockland,MA,2370,PCR Only,"Health Circle, Inc.",21 Commerce Road,,Rockland,MA,2370,,"19,000",7,Yes,1178901,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,11/8/2018 0:00,-70.90239818,(-70.90239817799994,42.16478297,42.164782967000065),,,,,,1,
MR282399,MRN282399,"Resinate, Inc.",Resina,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,120 Gilboa Street,,Douglas,MA,1516,01516,,120 Gilboa Street,,Douglas,MA,1516,PCR Only,"Resinate, Inc.",135 Westborough Road,,Grafton,MA,1519,,"3,000",11,Yes,1323894,,Douglas,,,,,,2/11/2019 0:00,-71.688675,(-71.68867499999999,42.20482,42.20482000000004),,,,,,1,
MR281657,MRN281657,"Atlantic Medicinal Partners, Inc.",Atlant,Marijuana Retailer,,300,"5,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,297 Highland Ave,,Salem,MA,1970,01970,,329 Washington Street,,Woburn,MA,1801,,"Atlantic Medicinal Partners, Inc.",297 Highland Avenue,,Salem,MA,1970,,"9,000",6,Yes,1266330,,Woburn,,,,,,6/26/2018 0:00,-70.92403229,(-70.92403228899997,42.50178489,42.50178488600005),,,,,,1,
MP281433,MPN281433,"Native Sun Wellness, Inc.",Native,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,55 Henshaw Street,,Brighton,MA,2135,02135,,77 Rumford Avenue,Suite 7,Waltham,MA,2453,,"Native Sun Wellness, Inc.",140 Industrial Road,,Fitchburg,MA,1420,,"70,000",7,Yes,1334989,,,,,,,,7/12/2018 0:00,-71.8574132,(-71.85741319899995,42.56238294,42.562382944000035),,,,,,1,
IL281279,ILN281279,"ProVerde Laboratories, Inc.",ProVer,Independent Testing Laboratory,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,420 Fortune Blvd.,,Milford,MA,1757,01757,,420 Fortune Blvd.,,Milford,MA,1757,,,420 Fortune Blvd.,,Milford,MA,1757,,"16,000",3,Yes,461857722,"ProVerde Laboratories, Inc.",Milford,,,,,,5/25/2018 0:00,-71.4925278,(-71.49252779599993,42.15539891,42.15539891000003),,,,,,1,
MR283325,MRN283325,"Nature's Alternative, Inc.",Nature,Marijuana Retailer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,2393 Route 6,,Wellfleet,MA,2667,02667,,72 Pine Street,Suite 1,Providence,RI,2903,,,2393 Route 6,,Wellfleet,MA,2667,,"3,250",27,Yes,1297846,Terps,,,,,,,3/4/2020 0:00,-70.01751521,(-70.01751521099999,41.92900091,41.92900091000007),,,,,,1,
MR282236,MRN282236,NS AJO Holdings Inc.,NS AJO,Marijuana Retailer,,300,"10,000",Not a DBE,9/10/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,67 Dana Street,Unit 1,Cambridge,MA,2138,02138,,20 Authority Drive,,Fitchburg,MA,1420,,NS AJO Holdings Inc.,20 Authority Drive,,Fitchburg,MA,1420,,"48,000",21,Yes,1345753,ETHOS CANNABIS,,,,,,,12/29/2018 0:00,-71.84729607,(-71.84729607399998,42.5515073,42.551507299000036),,,,,,1,
MP281361,MPN281361,"Hope Heal Health, Inc.",Hope H,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,12/19/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,100 Summer Street,,Boston,MA,2110,02110,,1 West St.,,Fall River,MA,2720,PCR Only,"Cresco HHH, LLC",1 West Street,,Fall River,MA,2720,,"135,763",9,Yes,1350877,Sunnyside,Fall River,,,,,,5/24/2018 0:00,-71.1455359,(-71.14553589899998,41.72759425,41.72759425400005),,,,,,1,
MC281806,MCN281806,"Nature's Medicines, Inc.",Nature,Marijuana Cultivator,,600,"7,500",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,1045 Quaker Highway,,Uxbridge,MA,1569,01569,,P.O. Box D,,Fall River,MA,2724,51,"Nature's Medicines, Inc. (formerly Xiphias Wellness, Inc.)",1045 Quaker Highway,,Uxbridge,MA,2724,,"27,800",22,No,1179000,,,,,"Tier 04: 20,001 to 30,000 sq. ft",,,11/20/2018 0:00,-71.59743766,(-71.59743765899998,42.01509785,42.015097850000075),,,,,,1,
MC282206,MCN282206,Caregiver-Patient Connection LLC,Caregi,Marijuana Cultivator,,600,"5,000",Woman-Owned Business,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,61C Tripp St.,,Framingham,MA,1703,01703,,"910 Boston Post Rd., Ste. #310",,Marlborough,MA,1752,,Caregiver-Patient Connection,61C Tripp St,,Framingham,MA,1701,,"23,000",21,Yes,1384921,,,,,"Tier 03: 10,001 to 20,000 sq. ft",,,6/12/2019 0:00,-71.41260714,(-71.41260713899999,42.26920902,42.26920902100005),,,,,1,,
MR282695,MRN282695,Community Growth Partners Great Barrington Operations LLC,Commun,Marijuana Retailer,,300,"5,000",Not a DBE,8/6/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,783 South Main Street,,Great Barrington,MA,1230,01230,,783 South Main Street,,Great Barrington,MA,1230,,,783 South Main Street,,Great Barrington,MA,1230,,"2,965",25,Yes,1372875,rebelle,Great Barrington,,,,,,5/8/2019 0:00,-73.36283352,(-73.36283351899993,42.1791853,42.17918529700006),,,,,,1,
MP281564,MPN281564,NS AJO Holdings Inc.,NS AJO,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,67 Dana Street,Unit 1,Cambridge,MA,2138,02138,,20 Authority Drive,,Fitchburg,MA,1420,,NS AJO Holdings Inc.,20 Authority Drive,,Fitchburg,MA,1420,,"48,000",21,Yes,1345753,ETHOS CANNABIS,,,,,,,12/29/2018 0:00,-71.84729607,(-71.84729607399998,42.5515073,42.551507299000036),,,,,,1,
MC282053,MCN282053,Cultivate Holdings LLC,Cultiv,Marijuana Cultivator,,600,"22,500",Not a DBE,9/10/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1764 Main Street,,LEICESTER,MA,1524,01524,,PO Box 245,,Leicester,MA,1524,21,Cultivate Holdings LLC,100 Campanelli Drive,,Uxbridge,MA,1569,,"37,380",25,Yes,1307470,,Leicester,,,"Tier 05: 30,001 to 40,000 sq. ft",,,3/25/2019 0:00,-71.66098003,(-71.66098002899997,42.06284213,42.06284213400005),,,,,,1,
MC281274,MCN281274,MJ's Market Inc.,MJ's M,Marijuana Cultivator,,200,"1,250",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,119 Drum Hill Road,STE 225,Chelmsford,MA,1824,01824,,119 Drum Hill Road,STE 225,Chelmsford,MA,1824,,,13 Centennial Drive,,Grafton,MA,1536,,"15,300",8,Yes,1329181,,,,,"Tier 01: up to 5,000 square feet",,,4/19/2018 0:00,-71.68935881,(-71.68935880599997,42.24937343,42.24937342700008),,,,,,1,
MC282004,MCN282004,HumboldtEast LLC,Humbol,Marijuana Cultivator,,600,"5,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,2 Norino Way,,Georgetown,MA,1833,01833,,395B Ipswich Rd,,Boxford,MA,1921,,,2 Norino Way,,Georgetown,MA,1833,,"40,000",12,Yes,1354483,,,,,"Tier 03: 10,001 to 20,000 sq. ft",,,2/23/2019 0:00,-70.95594823,(-70.95594822899994,42.71814674,42.718146743000034),,,,,,1,
MP281317,MPN281317,"Wellman Farm, Inc",Wellma,Marijuana Product Manufacturer,,300,"10,000",Minority-Owned Business | Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,26 Wellman Ave,,Lowell,MA,1851,01851,,P.O. Box 180629,,Boston,MA,2118,,,26 Wellman Street,,Lowell,MA,2851,,"13,000",26,Yes,1331837,N/A,,,,,,,4/26/2018 0:00,-71.32276588,(-71.32276587699994,42.62004067,42.62004067300007),,,1,,1,,
MC281448,MCN281448,Elevated Gardens LLC,Elevat,Marijuana Cultivator,,200,"1,250",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,17 taconic Park Dr,,Pittsfield,MA,1201,01201,,33 Crossin Ter,,Pittsfield,MA,1201,,,17 Taconic Park Dr,,Pittsfield,MA,1201,,"2,000",15,Yes,1331077,,Pittsfield,,,"Tier 01: up to 5,000 square feet",,,5/16/2018 0:00,-73.24663922,(-73.24663921899997,42.47564119,42.47564118500003),,,,,,1,
MP281702,MPN281702,"Bask, Inc.","Bask, ",Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,2 Pequod Road,,Fairhaven,MA,2719,02719,,2 Pequod Road,,Fairhaven,MA,2719,16,"Bask, Inc.",7 Campanelli Drive,,Freetown,MA,2702,,"30,836",10,I Don't Know,1383591,,,,,,,,6/13/2019 0:00,-71.08032525,(-71.08032525399994,41.782505,41.782504999000025),,,,,,1,
MP281571,MPN281571,"Commonwealth Farm 1761, Inc.",Common,Marijuana Product Manufacturer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,"600 Worcester Road, Suite 401",,Framingham,MA,1702,01702,,"600 Worcester Road, Suite 401",,Framingham,MA,1702,,,1062 Edmands Road,,Framingham,MA,1701,,"45,000",46,Yes,1352191,,,,,,,,1/13/2019 0:00,-71.48129809,(-71.48129809299996,42.32915196,42.329151962000026),,,,,,1,
MR281594,MRN281594,Krypies LLC,Krypie,Marijuana Retailer,,300,"5,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1450 East Street,Suite 2,Pittsfield,MA,1201,01201,,1450 East Street,Suite 1,Pittsfield,MA,1201,,,1450 East Street - Suite 2,,Pittsfield,MA,1201,,"1,450",25,Yes,1321904,,,,,,,,6/13/2018 0:00,-73.21548511,(-73.21548510999997,42.45405577,42.45405577200006),,,,,,1,
MP281460,MPN281460,"MassGrow, LLC",MassGr,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,134 Chestnut Hill Avenue,,Athol,MA,1331,01331,,134 Chestnut Hill Avenue,,Athol,MA,1331,,,134 Chestnut Hill Avenue,,Athol,MA,1331,,"360,000",20,Yes,1323994,,,,,,,,8/10/2018 0:00,-72.22293727,(-72.22293726699996,42.59633166,42.59633166400005),,,,,,1,
MP281543,MPN281543,4bros Inc,4bros ,Marijuana Product Manufacturer,,300,0,Minority-Owned Business | Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,630 Beaulieu Street,,Holyoke,MA,1040,01040,,630 Beaulieu Street,,Holuoke,MA,1040,RMD1325,4bros Inc,630 Beaulieu Street,,Holyoke,MA,1040,,"31,500",9,Yes,1283676,East coast Pharms,Holyoke,,,,,,11/26/2018 0:00,-72.61703717,(-72.61703717199998,42.19219795,42.19219795100003),,,1,,,1,
MC282178,MCN282178,"Liberty Compassion, Inc",Libert,Marijuana Cultivator,,400,"2,500",Not a DBE,11/19/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,179 Brook St,,Clinton,MA,1510,01510,,10 Greene Street,,Providence,RI,2903,,"Liberty Compassion, Inc. (Formerly Liberty Compassion Center, Inc.)",179 Brook Street,,Clinton,MA,1510,,"62,000",27,Yes,1339605,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,5/31/2019 0:00,-71.69155528,(-71.69155528399995,42.42381227,42.42381227300007),,,,,,1,
MR281552,MRN281552,"Four Daughters Compassionate Care, Inc.",Four D,Marijuana Retailer,,300,"10,000",Not a DBE,7/9/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,2-4 Merchant Street,,Sharon,MA,2067,02067,,415 N. Dearborn St.,4th Floor,Chicago,IL,60654,,"Four Daughters Compassionate Care, Inc.",2 Merchant Street Unit 1,,Sharon,MA,2067,,"8,000",11,Yes,1342887,Zen Leaf Sharon,Sharon,,,,,,6/5/2018 0:00,-71.23461533,(-71.23461532899995,42.11806773,42.11806772800003),,,,,,1,
MC282581,MCN282581,"Hudson Growers Alliance, LLC",Hudson,Marijuana Cultivator,,200,"1,250",Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,9 KANE INDUSTRIAL DR.,Unit 2,HUDSON,MA,1749,01749,,5 Kane Industrial Dr,,Hudson,MA,1749,,,"9 Kane Industrial Dr., Unit 2",,Hudson,MA,1749,,"5,000",4,Yes,1408761,,,,,"Tier 01: up to 5,000 square feet",,,1/8/2020 0:00,-71.50631112,(-71.50631111699995,42.39396868,42.39396867500005),,,,,1,,
MP281687,MPN281687,MassMedicum Corp.,MassMe,Marijuana Product Manufacturer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,1 Mear Road,,Holbrook,MA,2343,02343,,1 Mear Road,,Holbrook,MA,2343,52,MassMedicum Corp.,1 Mear Road,,Holbrook,MA,2343,,"115,494",12,Yes,1355959,,Holbrook,,,,,,6/3/2019 0:00,-71.02553747,(-71.02553747199994,42.15197546,42.151975460000074),,,,,,1,
MC282951,MCN282951,Mint Cultivation Facilities LLC,Mint C,Marijuana Cultivator,,600,"5,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,25 Ware Street,,Palmer,MA,1609,01609,,21001 N. Tatum Blvd. #1630-486,,Phoenix,AZ,85050,,,25 Ware Street,,Palmer,MA,1609,,"39,500",21,Yes,1378791,,,,,,,,7/24/2020 0:00,-72.31854058,(-72.31854058399995,42.1791892,42.17918919500005),,,,,,1,
MC282161,MCN282161,Diem Orange LLC,Diem O,Marijuana Cultivator,,400,0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,75 North Main Street #570,,Randolph,MA,2368,02368,,75 North Main Street #570,,Randolph,MA,2368,,"New England Patient Network, LLC",207 Daniel Shays Highway,,Orange,MA,1634,,"43,000",22,Yes,1379953,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,5/21/2019 0:00,-72.28950651,(-72.28950650999997,42.55432324,42.55432324100008),,,,,,1,
MR282468,MRN282468,In Good Health Inc.,In Goo,Marijuana Retailer,,300,"5,000",Not a DBE,9/13/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1200 West Chestnut Street,,Brockton,MA,2301,02301,,1200 W CHESTNUT ST,,BROCKTON,MA,2301,3,"In Good Health, Inc.",1200 West Chestnut Street,,Brockton,MA,2301,,"55,000",10,Yes,462680110,,,,,,,,3/5/2019 0:00,-71.06516384,(-71.06516384099996,42.05272853,42.052728530000024),,,,,,1,
MR281981,MRN281981,"DDM Sales, Inc.",DDM Sa,Marijuana Retailer,,300,"10,000",Minority-Owned Business,1/14/2021 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,220 Pulaski Boulevard,,Bellingham,MA,2019,02019,,220 Pulaski Boulevard,,Bellingham,MA,2019,,,1 Lloyd Street,,Blackstone,MA,1504,,"4,000",30,Yes,1347142,DDM CANNABIS,Blackstone,,,,,,10/20/2018 0:00,-71.49949931,(-71.49949931099997,42.0193538,42.01935380300006),,,1,,,,
MR282527,MRN282527,Munro Associates LLC,Munro ,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,885 BUFFINTON ST.,,SOMERSET,MA,2726,02726,,885 BUFFINTON ST.,,SOMERSET,MA,2726,,,342 West Boylston Street,,Worcester,MA,1606,,"3,360",14,Yes,1350838,The Vault,Worcester,,,,,,3/27/2019 0:00,-71.80077643,(-71.80077642799995,42.30335355,42.30335355400007),,,,,,1,
MP281307,MPN281307,"In Good Health, Inc.",In Goo,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,9/13/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1200 West Chestnut Street,,Brockton,MA,2301,02301,,1200 West Chestnut Street,,Brockton,MA,2301,3,"In Good Health, Inc.",1200 West Chestnut Street,,Brockton,MA,2301,,"55,000",9,Yes,462680110,,,,,,,,4/19/2018 0:00,-71.06516384,(-71.06516384099996,42.05272853,42.052728530000024),,,,,,1,
MC282015,MCN282015,"SIRA NATURALS, INC.",SIRA N,Marijuana Cultivator,,600,"5,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,ONE INDUSTRIAL ROAD,,MILFORD,MA,1757,01757,,300 TRADE CENTER DRIVE,SUITE 7700,WOBURN,MA,1801,10,"SIRA NATURALS, INC.",One Industrial Road,,Milford,MA,1757,,"25,000",2,Yes,1312028,,,,,"Tier 03: 10,001 to 20,000 sq. ft",,,3/2/2019 0:00,-71.49189404,(-71.49189404399993,42.14359825,42.14359824500008),,,,,,1,
MR282554,MRN282554,"Good Chemistry of Massachusetts, Inc.",Good C,Marijuana Retailer,,300,"5,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,696 Western Avenue,,Lynn,MA,1905,01905,,1550 Larimer Street,Suite 296,Denver,CO,80202,A23846,"Good Chemistry of Massachusetts, Inc.",696 Western Avenue,,Lynn,MA,1902,,"3,750",8,Yes,1315096,,,,,,,,4/1/2019 0:00,-70.96425453,(-70.96425452799997,42.46340763,42.46340762900007),,,,,,1,
MP281302,MPN281302,"253 Organic, LLC",253 Or,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,11/7/2019 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,253 Millers Falls Road,,Turners Falls,MA,1376,01376,,PO Box 253,,Turners Falls,MA,1376,,,253 Millers Falls Road,P.O. Box 253,Montague,MA,1376,,"2,000",16,Yes,1317748,,,,,,,,4/17/2018 0:00,-72.52730613,(-72.52730613199998,42.59028978,42.590289778000056),,,,,,1,
MR282601,MRN282601,"ToroVerde (Massachusetts), Inc.",ToroVe,Marijuana Retailer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,C/O EvansCutler Attorneys 90 Conz Street,,Northampton,MA,1060,01060,,C/O EvansCutler Attorneys 90 Conz Street,,Northampton,MA,1060,,N/A,26-28 North King Street,Unit 2,Northampton,MA,1060,,"3,000",15,Yes,1343676,,,,,,,,4/13/2019 0:00,-72.63827985,(-72.63827984799997,42.3386938,42.33869379500004),,,,,,1,
MR282801,MRN282801,"Fidelity Wellness Center, Inc.",Fideli,Marijuana Retailer,,300,"10,000",Not a DBE,7/9/2020 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,256 Weymouth Street,,Rockland,MA,2370,02370,,38 Church Street,,Winchester,MA,1890,,"Fidelity Wellness Center, Inc.",256 Weymouth Street,,Rockland,MA,2370,,"20,000",14,Yes,1326201,,,,,,,,6/21/2019 0:00,-70.91063591,(-70.91063591199998,42.16091287,42.160912874000076),,,,,,1,
MC282817,MCN282817,BB Botanics LLC,BB Bot,Marijuana Cultivator,,200,"1,250",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,242 John Wise Avenue,,Essex,MA,1929,01929,,PO BOX 372,,Burlington,MA,1803,,,242 John Wise Avenue,,Essex,MA,1929,,"5,622",1,Yes,1354546,,,,,,,,5/26/2020 0:00,-70.80747229,(-70.80747228599995,42.65393114,42.653931138000075),,,,,,1,
MP281696,MPN281696,QPS Massachusetts Holdings LLC,QPS Ma,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,105 Constitution Blvd,,Franklin,MA,2038,02038,,2082 S State St,,Ann Arbor,MI,48104,,,105 Constitution Blvd,,Franklin,MA,2038,,"37,200",8,Yes,1326853,,,,,,,,6/11/2019 0:00,-71.40074853,(-71.40074853199997,42.05519431,42.05519430900006),,,,,,1,
MP281468,MPN281468,"Mass Alternative Care, Inc.",Mass A,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,4/4/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1247 East Main Street,,Chicopee,MA,1020,01020,,1247 East Main Street,,Chicopee,MA,1020,31,"Mass Alternative Care, Inc.",1247 East Main Street,,Chicopee,MA,1020,,"23,800",7,Yes,1302536,,,,,,,,8/23/2018 0:00,-72.5426772,(-72.54267720199994,42.15815489,42.158154893000074),,,,,,1,
MC282213,MCN282213,"Turning Leaf Centers Otis, LLC",Turnin,Marijuana Cultivator,,600,"30,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1570 North Main Road,,Otis,MA,1253,01253,,PO Box 1328,,East Otis,MA,1029,,n/a,1570 North Main Road,,Otis,MA,1253,,"60,000",8,Yes,1373871,,Otis,,,"Tier 07: 50,0001 to 60,000 sq. ft",,,6/15/2019 0:00,-73.1097189,(-73.10971890299999,42.23286975,42.232869753000045),,,,,,1,
MC282746,MCN282746,Cedar Roots LLC,Cedar ,Marijuana Cultivator,,200,"1,250",Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,50 East Main Street,,Ware,MA,1082,01082,,12 Elm Street,,Ware,MA,1082,,,50 East Main Street,,Ware,MA,1082,,"10,000",56,Yes,1357403,,,,,,,,4/15/2020 0:00,-72.23917461,(-72.23917460599995,42.25899174,42.25899174400007),,,,,1,,
MP281679,MPN281679,"HumboldtEast, LLC",Humbol,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,2 Norino Way,,Georgetown,MA,1833,01833,,395B Ipswich Rd,,Boxford,MA,1921,,,2 Norino Way,,Georgetown,MA,1833,,"40,000",12,Yes,1354483,,,,,,,,5/25/2019 0:00,-70.95594823,(-70.95594822899994,42.71814674,42.718146743000034),,,,,,1,
MP281715,MPN281715,"Four Daughters Compassionate Care, Inc.",Four D,Marijuana Product Manufacturer,,300,"10,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,1200 Providence Highway,,Sharon,MA,2067,02067,,415 N. Dearborn St.,4th Floor,Chicago,IL,60654,,"Four Daughters Compassionate Care, Inc.",1200 General Edwards Highway,,Sharon,MA,2067,,"25,732",10,Yes,1342887,,,,,,,,6/26/2019 0:00,-71.23366138,(-71.23366138499996,42.11888014,42.11888014400006),,,,,,1,
MC282136,MCN282136,"JAMACO, LLC",JAMACO,Marijuana Cultivator,,400,"2,500",Not a DBE,1/14/2021 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,35 Buttonwood Road,,Amesbury,MA,1913,01913,,3 Dewey St,,Amesbury,MA,1913,,,35 Buttonwood Road,,Amesbury,MA,1913,,"21,000",7,Yes,1312192,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,5/8/2019 0:00,-70.9669856,(-70.96698560299996,42.83205438,42.83205437600004),,,,,,1,
